pair_id,candidate_id,resource_type,flag_type,flag_reason
demo-mimic-eicu-pair-0001,eicu-obs-0001,Observation,coding_uncertainty,"Reviewed row still lacks confirmed source coding, so the JSON keeps code text minimal."
demo-mimic-eicu-pair-0001,eicu-obs-0001,Observation,unit_sensitivity,Quantity meaning depends on preserving the exact numeric value and unit.
demo-mimic-eicu-pair-0001,eicu-obs-0001,Observation,possible_omission,"Subject or encounter linkage was reviewed as relevant, but resolvable references were omitted in demo mode."
demo-mimic-eicu-pair-0002,eicu-obs-0001,Observation,coding_uncertainty,"Reviewed row still lacks confirmed source coding, so the JSON keeps code text minimal."
demo-mimic-eicu-pair-0002,eicu-obs-0001,Observation,unit_sensitivity,Quantity meaning depends on preserving the exact numeric value and unit.
demo-mimic-eicu-pair-0002,eicu-obs-0001,Observation,possible_omission,"Subject or encounter linkage was reviewed as relevant, but resolvable references were omitted in demo mode."
demo-mimic-eicu-pair-0002,eicu-obs-0001,Observation,near_duplicate_variant,Semi-structured variant stays intentionally close to the concise clinical phrasing.
demo-mimic-eicu-pair-0003,mimic-obs-0003,Observation,coding_uncertainty,"Reviewed row still lacks confirmed source coding, so the JSON keeps code text minimal."
demo-mimic-eicu-pair-0003,mimic-obs-0003,Observation,unit_sensitivity,Quantity meaning depends on preserving the exact numeric value and unit.
demo-mimic-eicu-pair-0003,mimic-obs-0003,Observation,possible_omission,"Subject or encounter linkage was reviewed as relevant, but resolvable references were omitted in demo mode."
demo-mimic-eicu-pair-0004,mimic-obs-0003,Observation,coding_uncertainty,"Reviewed row still lacks confirmed source coding, so the JSON keeps code text minimal."
demo-mimic-eicu-pair-0004,mimic-obs-0003,Observation,unit_sensitivity,Quantity meaning depends on preserving the exact numeric value and unit.
demo-mimic-eicu-pair-0004,mimic-obs-0003,Observation,possible_omission,"Subject or encounter linkage was reviewed as relevant, but resolvable references were omitted in demo mode."
demo-mimic-eicu-pair-0004,mimic-obs-0003,Observation,near_duplicate_variant,Semi-structured variant stays intentionally close to the concise clinical phrasing.
demo-mimic-eicu-pair-0005,eicu-obs-0006,Observation,coding_uncertainty,"Reviewed row still lacks confirmed source coding, so the JSON keeps code text minimal."
